year	season	Mean.TemperatureF	Mean.VisibilityMiles	Mean.Wind.SpeedMPH	PrecipitationIn	Events
2013-03-20	Spring	33	10	14	0	Clear
2013-03-21	Spring	33	8	6	0.02	Snow
2013-03-22	Spring	35	10	12	0	Clear
2013-03-23	Spring	37	10	17	0	Clear
2013-03-24	Spring	41	10	10	0	Clear
2013-03-25	Spring	39	10	14	0	Rain
2013-03-26	Spring	42	9	11	0.05	Snow
2013-03-27	Spring	46	10	12	0	Clear
2013-03-28	Spring	43	10	9	0	Rain
2013-03-29	Spring	48	10	9	0.01	Rain
2013-03-30	Spring	47	10	8	0	Clear
2013-03-31	Spring	47	10	10	0.03	Rain
2013-04-01	Spring	49	7	15	0.12	Rain
2013-04-02	Spring	37	10	17	0	Snow
2013-04-03	Spring	39	10	19	0	Clear
2013-04-04	Spring	44	10	14	0	Clear
2013-04-05	Spring	48	10	13	0	Clear
2013-04-06	Spring	40	10	12	0	Clear
2013-04-07	Spring	43	10	16	0	Clear
2013-04-08	Spring	55	10	10	0	Clear
2013-04-09	Spring	59	9	9	0.06	Rain-Thunderstorm
2013-04-10	Spring	50	10	6	0.19	Rain
2013-04-11	Spring	46	6	7	0.04	Rain
2013-04-12	Spring	41	7	19	0.35	Rain
2013-04-13	Spring	44	9	9	0.02	Rain
2013-04-14	Spring	49	10	10	0	Rain
2013-04-15	Spring	44	10	11	0	Clear
2013-04-16	Spring	52	10	15	0	Rain
2013-04-17	Spring	57	10	10	0	Clear
2013-04-18	Spring	54	10	14	0	Clear
2013-04-19	Spring	64	9	18	0.05	Rain
2013-04-20	Spring	55	9	15	0.38	Rain
2013-04-21	Spring	44	10	11	0	Clear
2013-04-22	Spring	43	10	14	0	Clear
2013-04-23	Spring	42	5	17	0.13	Rain
2013-04-24	Spring	56	8	15	0	Rain
2013-04-25	Spring	57	10	11	0.03	Rain
2013-04-26	Spring	48	10	10	0	Clear
2013-04-27	Spring	49	10	7	0	Clear
2013-04-28	Spring	54	10	10	0	Clear
2013-04-29	Spring	58	10	10	0	Clear
2013-04-30	Spring	54	10	7	0	Clear
2013-05-01	Spring	53	10	6	0	Clear
2013-05-02	Spring	53	10	9	0	Rain
2013-05-03	Spring	49	10	10	0	Clear
2013-05-04	Spring	48	10	9	0	Clear
2013-05-05	Spring	47	10	9	0	Clear
2013-05-06	Spring	49	7	7	0	Clear
2013-05-07	Spring	60	10	9	0	Clear
2013-05-08	Spring	60	6	11	0.37	Fog-Rain
2013-05-09	Spring	58	4	5	0.61	Fog-Rain-Thunderstorm
2013-05-10	Spring	63	7	7	0.06	Rain
2013-05-11	Spring	66	10	12	0.02	Rain
2013-05-12	Spring	62	9	11	0.04	Rain
2013-05-13	Spring	53	10	12	0	Clear
2013-05-14	Spring	52	10	11	0	Clear
2013-05-15	Spring	56	10	11	0	Rain
2013-05-16	Spring	68	10	13	0	Clear
2013-05-17	Spring	62	10	12	0	Clear
2013-05-18	Spring	59	10	10	0	Clear
2013-05-19	Spring	57	9	8	0.17	Rain
2013-05-20	Spring	69	9	7	0.03	Rain
2013-05-21	Spring	59	4	10	0.01	Fog-Rain
2013-05-22	Spring	56	8	8	0.05	Rain
2013-05-23	Spring	65	5	10	0.05	Fog-Rain
2013-05-24	Spring	61	8	10	0.57	Rain
2013-05-25	Spring	48	6	14	0.34	Rain
2013-05-26	Spring	51	10	16	0.05	Rain
2013-05-27	Spring	60	10	10	0	Clear
2013-05-28	Spring	58	10	7	0	Clear
2013-05-29	Spring	64	7	6	0.84	Rain-Thunderstorm
2013-05-30	Spring	77	10	11	0	Clear
2013-05-31	Spring	83	10	11	0	Clear
2013-06-01	Spring	81	10	13	0	Clear
2013-06-02	Spring	78	10	16	0	Clear
2013-06-03	Spring	70	8	10	0.71	Rain
2013-06-04	Spring	64	10	12	0	Clear
2013-06-05	Spring	65	10	9	0	Clear
2013-06-06	Spring	63	10	9	0.02	Rain
2013-06-07	Spring	57	5	12	3.07	Rain
2013-06-08	Spring	67	7	12	0.54	Rain
2013-06-09	Spring	71	10	9	0	Clear
2013-06-10	Spring	64	8	8	0.88	Rain
2013-06-11	Spring	60	5	9	1.38	Rain
2013-06-12	Spring	64	7	12	0.07	Rain
2013-06-13	Spring	60	8	9	0.72	Rain
2013-06-14	Spring	64	8	11	1.02	Rain
2013-06-15	Spring	71	10	10	0	Clear
2013-06-16	Spring	69	10	11	0	Clear
2013-06-17	Spring	75	9	11	0.43	Fog-Rain-Thunderstorm
2013-06-18	Spring	65	8	7	0.63	Rain-Thunderstorm
2013-06-19	Spring	65	10	11	0	Clear
2013-06-20	Spring	68	10	9	0	Clear
2013-06-21	Summer	73	10	8	0	Clear
2013-06-22	Summer	75	10	12	0	Clear
2013-06-23	Summer	79	10	13	0	Rain
2013-06-24	Summer	83	10	11	0.33	Rain-Thunderstorm
2013-06-25	Summer	81	10	12	0	Rain-Thunderstorm
2013-06-26	Summer	74	7	7	0.04	Fog-Rain
2013-06-27	Summer	64	0	7	0.03	Fog-Rain
2013-06-28	Summer	72	5	13	0.45	Fog-Rain-Thunderstorm
2013-06-29	Summer	77	9	12	0.07	Rain
2013-06-30	Summer	77	10	10	0.11	Rain
2013-07-01	Summer	78	10	9	0.03	Rain
2013-07-02	Summer	72	8	9	0	Rain
2013-07-03	Summer	77	7	12	0	Fog
2013-07-04	Summer	85	10	12	0	Clear
2013-07-05	Summer	87	10	13	0	Clear
2013-07-06	Summer	86	10	12	0	Clear
2013-07-07	Summer	84	10	8	0	Rain
2013-07-08	Summer	76	9	9	0.01	Rain-Thunderstorm
2013-07-09	Summer	69	6	6	0	Rain
2013-07-10	Summer	77	5	10	0.01	Fog-Rain
2013-07-11	Summer	78	9	8	0.17	Rain
2013-07-12	Summer	70	10	13	0	Clear
2013-07-13	Summer	69	10	6	0	Rain
2013-07-14	Summer	81	6	5	0	Fog
2013-07-15	Summer	83	10	7	0	Clear
2013-07-16	Summer	84	10	6	0.01	Rain
2013-07-17	Summer	84	10	8	0	Clear
2013-07-18	Summer	84	10	10	0	Clear
2013-07-19	Summer	89	9	15	0	Clear
2013-07-20	Summer	88	9	13	0	Clear
2013-07-21	Summer	74	10	9	0.01	Clear
2013-07-22	Summer	72	9	7	0	Clear
2013-07-23	Summer	75	4	6	1.76	Fog-Rain-Thunderstorm
2013-07-24	Summer	77	10	9	0	Clear
2013-07-25	Summer	63	9	11	0.27	Rain
2013-07-26	Summer	67	7	11	1	Rain
2013-07-27	Summer	73	10	9	0	Clear
2013-07-28	Summer	71	8	7	0.01	Rain
2013-07-29	Summer	74	6	7	0.33	Fog-Rain-Thunderstorm
2013-07-30	Summer	75	9	8	0	Clear
2013-07-31	Summer	74	10	8	0	Clear
2013-08-01	Summer	74	10	10	0	Rain
2013-08-02	Summer	76	9	8	0.13	Rain
2013-08-03	Summer	74	10	12	0	Clear
2013-08-04	Summer	74	10	9	0	Rain-Thunderstorm
2013-08-05	Summer	70	10	11	0	Clear
2013-08-06	Summer	67	10	7	0	Clear
2013-08-07	Summer	70	10	9	0	Clear
2013-08-08	Summer	73	10	11	0.07	Rain
2013-08-09	Summer	74	7	12	1.62	Rain
2013-08-10	Summer	76	10	12	0	Clear
2013-08-11	Summer	72	10	7	0	Clear
2013-08-12	Summer	75	10	8	0	Clear
2013-08-13	Summer	70	10	5	0	Rain
2013-08-14	Summer	70	10	14	0	Clear
2013-08-15	Summer	69	10	11	0	Clear
2013-08-16	Summer	71	10	8	0	Clear
2013-08-17	Summer	69	10	7	0	Clear
2013-08-18	Summer	71	10	6	0	Clear
2013-08-19	Summer	74	10	9	0	Clear
2013-08-20	Summer	78	10	7	0	Clear
2013-08-21	Summer	78	10	7	0	Clear
2013-08-22	Summer	80	10	12	0	Clear
2013-08-23	Summer	72	10	10	0	Clear
2013-08-24	Summer	66	10	9	0	Clear
2013-08-25	Summer	72	10	9	0	Clear
2013-08-26	Summer	76	10	11	0.01	Rain
2013-08-27	Summer	71	7	5	0.01	Clear
2013-08-28	Summer	67	2	6	0	Fog
2013-08-29	Summer	65	5	10	0	Fog
2013-08-30	Summer	74	10	9	0	Clear
2013-08-31	Summer	76	7	10	0	Rain
2013-09-01	Summer	75	8	9	0.38	Rain-Thunderstorm
2013-09-02	Summer	75	7	7	0.38	Rain
2013-09-03	Summer	75	9	7	0	Clear
2013-09-04	Summer	73	10	11	0	Clear
2013-09-05	Summer	64	10	9	0.09	Rain
2013-09-06	Summer	62	10	9	0	Clear
2013-09-07	Summer	68	10	11	0	Clear
2013-09-08	Summer	67	10	13	0	Clear
2013-09-09	Summer	62	10	9	0	Clear
2013-09-10	Summer	68	10	11	0.03	Rain
2013-09-11	Summer	83	8	10	0	Clear
2013-09-12	Summer	78	8	12	0.57	Rain-Thunderstorm
2013-09-13	Summer	69	8	7	0.39	Rain
2013-09-14	Summer	63	10	10	0	Clear
2013-09-15	Summer	64	10	9	0	Clear
2013-09-16	Summer	60	10	10	0	Rain
2013-09-17	Summer	52	10	8	0	Clear
2013-09-18	Summer	63	10	8	0	Clear
2013-09-19	Summer	63	10	5	0	Clear
2013-09-20	Summer	63	10	5	0	Clear
2013-09-21	Summer	67	9	13	0	Clear
2013-09-22	Fall	64	10	13	0.37	Rain
2013-09-23	Fall	58	10	13	0	Clear
2013-09-24	Fall	58	10	10	0	Clear
2013-09-25	Fall	58	10	8	0	Clear
2013-09-26	Fall	59	10	7	0	Clear
2013-09-27	Fall	62	10	8	0	Clear
2013-09-28	Fall	62	10	6	0	Clear
2013-09-29	Fall	57	6	4	0	Fog-Rain
2013-09-30	Fall	58	7	4	0	Fog
2013-10-01	Fall	64	10	7	0	Clear
2013-10-02	Fall	72	10	11	0	Clear
2013-10-03	Fall	70	10	7	0	Clear
2013-10-04	Fall	63	10	3	0.03	Rain
2013-10-05	Fall	64	10	4	0	Clear
2013-10-06	Fall	59	7	11	0.31	Rain
2013-10-07	Fall	69	7	12	0.11	Rain
2013-10-08	Fall	60	10	11	0	Clear
2013-10-09	Fall	55	10	9	0	Clear
2013-10-10	Fall	55	10	8	0	Clear
2013-10-11	Fall	59	9	7	0	Clear
2013-10-12	Fall	57	8	12	0	Rain
2013-10-13	Fall	55	10	10	0	Clear
2013-10-14	Fall	53	10	6	0	Clear
2013-10-15	Fall	58	10	6	0	Clear
2013-10-16	Fall	57	10	5	0	Clear
2013-10-17	Fall	64	7	9	0.03	Clear
2013-10-18	Fall	63	10	12	0.02	Rain
2013-10-19	Fall	59	10	9	0	Clear
2013-10-20	Fall	57	10	12	0	Clear
2013-10-21	Fall	57	10	8	0	Clear
2013-10-22	Fall	60	10	10	0	Rain
2013-10-23	Fall	50	10	6	0	Clear
2013-10-24	Fall	50	10	14	0	Clear
2013-10-25	Fall	46	10	10	0	Clear
2013-10-26	Fall	47	10	13	0	Clear
2013-10-27	Fall	51	10	13	0.03	Rain
2013-10-28	Fall	50	10	12	0	Clear
2013-10-29	Fall	46	10	7	0	Clear
2013-10-30	Fall	46	9	4	0.05	Rain
2013-10-31	Fall	52	8	8	0.03	Rain
2013-11-01	Fall	66	10	21	0.03	Rain
2013-11-02	Fall	58	10	5	0	Clear
2013-11-03	Fall	44	9	11	0.03	Rain
2013-11-04	Fall	37	10	9	0	Clear
2013-11-05	Fall	40	10	7	0	Clear
2013-11-06	Fall	52	10	11	0	Clear
2013-11-07	Fall	56	9	14	0.22	Rain
2013-11-08	Fall	44	10	14	0	Clear
2013-11-09	Fall	41	10	12	0	Clear
2013-11-10	Fall	50	10	12	0.03	Rain
2013-11-11	Fall	47	10	13	0	Clear
2013-11-12	Fall	40	9	14	0.08	Rain-Snow
2013-11-13	Fall	32	10	13	0	Clear
2013-11-14	Fall	41	10	12	0	Clear
2013-11-15	Fall	50	10	9	0	Clear
2013-11-16	Fall	50	10	5	0	Clear
2013-11-17	Fall	47	5	3	0.04	Fog-Rain
2013-11-18	Fall	59	7	14	0.15	Fog-Rain
2013-11-19	Fall	41	10	17	0	Clear
2013-11-20	Fall	36	10	10	0	Clear
2013-11-21	Fall	39	10	7	0	Clear
2013-11-22	Fall	45	4	5	0.25	Fog-Rain
2013-11-23	Fall	41	10	16	0	Clear
2013-11-24	Fall	26	10	22	0	Clear
2013-11-25	Fall	26	10	13	0	Clear
2013-11-26	Fall	38	9	9	0.1	Rain-Snow
2013-11-27	Fall	51	5	17	1.79	Rain
2013-11-28	Fall	33	10	18	0	Clear
2013-11-29	Fall	29	10	10	0	Clear
2013-11-30	Fall	28	10	7	0	Clear
2013-12-01	Fall	41	6	6	0.27	Rain
2013-12-02	Fall	39	4	5	0	Clear
2013-12-03	Fall	43	6	8	0	Clear
2013-12-04	Fall	40	9	7	0	Clear
2013-12-05	Fall	47	5	4	0.01	Fog
2013-12-06	Fall	46	7	11	0.3	Rain-Snow
2013-12-07	Fall	37	9	11	0.09	Rain-Snow
2013-12-08	Fall	30	10	7	0	Clear
2013-12-09	Fall	37	3	12	0.43	Rain-Snow
2013-12-10	Fall	33	5	11	0.07	Fog-Snow
2013-12-11	Fall	28	10	14	0	Clear
2013-12-12	Fall	23	10	12	0	Clear
2013-12-13	Fall	23	10	14	0	Clear
2013-12-14	Fall	21	5	14	0.22	Fog-Snow
2013-12-15	Fall	31	4	19	0.64	Fog-Rain-Snow
2013-12-16	Fall	25	9	14	0	Snow
2013-12-17	Fall	19	4	10	0.53	Fog-Snow
2013-12-18	Fall	28	10	13	0	Clear
2013-12-19	Fall	35	10	12	0	Clear
2013-12-20	Fall	42	10	8	0	Clear
2013-12-21	Winter	48	10	11	0	Clear
2013-12-22	Winter	45	3	8	0.01	Fog-Rain
2013-12-23	Winter	37	4	6	0.68	Fog-Rain
2013-12-24	Winter	34	10	10	0	Clear
2013-12-25	Winter	22	10	10	0	Clear
2013-12-26	Winter	29	8	7	0.05	Rain-Snow
2013-12-27	Winter	32	10	12	0	Clear
2013-12-28	Winter	38	10	10	0	Clear
2013-12-29	Winter	39	5	8	1.32	Rain-Snow
2013-12-30	Winter	32	10	14	0	Clear
2013-12-31	Winter	20	10	9	0	Snow
2013-01-01	Winter	29	10	14	0	Clear
2013-01-02	Winter	21	10	14	0	Clear
2013-01-03	Winter	16	10	11	0	Clear
2013-01-04	Winter	30	10	13	0	Clear
2013-01-05	Winter	35	10	9	0	Clear
2013-01-06	Winter	36	10	8	0	Snow
2013-01-07	Winter	34	10	9	0	Clear
2013-01-08	Winter	37	10	13	0	Clear
2013-01-09	Winter	37	9	8	0	Rain
2013-01-10	Winter	41	10	15	0	Clear
2013-01-11	Winter	36	9	5	0.12	Rain
2013-01-12	Winter	41	5	2	0.01	Fog-Rain
2013-01-13	Winter	46	6	7	0	Rain
2013-01-14	Winter	52	10	13	0	Clear
2013-01-15	Winter	39	10	6	0	Clear
2013-01-16	Winter	33	4	7	0.37	Fog-Rain-Snow
2013-01-17	Winter	36	10	12	0	Clear
2013-01-18	Winter	25	10	13	0	Clear
2013-01-19	Winter	37	10	18	0	Clear
2013-01-20	Winter	42	10	19	0	Clear
2013-01-21	Winter	27	8	10	0.01	Snow
2013-01-22	Winter	20	10	15	0	Snow
2013-01-23	Winter	13	10	15	0	Clear
2013-01-24	Winter	13	10	17	0	Clear
2013-01-25	Winter	17	9	13	0.01	Snow
2013-01-26	Winter	19	9	10	0.01	Snow
2013-01-27	Winter	23	10	14	0	Clear
2013-01-28	Winter	26	6	6	0.17	Rain-Snow
2013-01-29	Winter	31	6	4	0.01	Rain-Snow
2013-01-30	Winter	47	6	15	0.11	Rain
2013-01-31	Winter	46	8	27	0.31	Rain
2013-02-01	Winter	29	10	17	0	Clear
2013-02-02	Winter	25	10	13	0	Clear
2013-02-03	Winter	25	5	8	0.03	Snow
2013-02-04	Winter	27	10	17	0	Clear
2013-02-05	Winter	25	8	7	0.03	Snow
2013-02-06	Winter	33	7	10	0.01	Snow
2013-02-07	Winter	24	10	9	0	Clear
2013-02-08	Winter	27	4	26	1.25	Fog-Snow
2013-02-09	Winter	18	3	21	0.14	Fog-Snow
2013-02-10	Winter	26	10	8	0	Snow
2013-02-11	Winter	33	5	7	0.2	Fog-Rain-Snow
2013-02-12	Winter	40	9	15	0	Clear
2013-02-13	Winter	36	10	7	0	Clear
2013-02-14	Winter	37	10	9	0	Snow
2013-02-15	Winter	39	9	10	0	Clear
2013-02-16	Winter	35	6	8	0.01	Snow
2013-02-17	Winter	25	5	22	0.2	Fog-Snow
2013-02-18	Winter	25	10	20	0	Clear
2013-02-19	Winter	36	8	10	0.45	Rain
2013-02-20	Winter	35	10	17	0.01	Rain
2013-02-21	Winter	29	10	18	0	Clear
2013-02-22	Winter	32	10	10	0	Clear
2013-02-23	Winter	35	8	6	0.23	Rain-Snow
2013-02-24	Winter	34	3	13	0.82	Rain-Snow
2013-02-25	Winter	35	9	7	0.01	Snow
2013-02-26	Winter	35	10	7	0	Clear
2013-02-27	Winter	39	3	20	1.37	Rain-Snow
2013-02-28	Winter	39	9	6	0	Clear
2013-03-01	Winter	38	10	10	0	Clear
2013-03-02	Winter	38	10	9	0	Clear
2013-03-03	Winter	38	10	9	0	Rain-Snow
2013-03-04	Winter	36	9	18	0	Snow
2013-03-05	Winter	38	10	10	0	Rain
2013-03-06	Winter	38	8	23	0.05	Rain-Snow
2013-03-07	Winter	34	1	24	0.11	Fog-Rain-Snow
2013-03-08	Winter	35	3	18	0.36	Fog-Snow
2013-03-09	Winter	35	10	11	0	Clear
2013-03-10	Winter	33	10	7	0	Clear
2013-03-11	Winter	43	10	10	0	Clear
2013-03-12	Winter	46	8	12	0.29	Rain
2013-03-13	Winter	45	10	13	0	Clear
2013-03-14	Winter	31	10	17	0	Clear
2013-03-15	Winter	31	10	15	0	Clear
2013-03-16	Winter	35	10	8	0	Clear
2013-03-17	Winter	32	10	12	0	Clear
2013-03-18	Winter	27	9	10	0.05	Snow
2013-03-19	Winter	32	2	22	0.68	Fog-Rain-Snow
